Date,Open,High,Low,Close,Volume,hour_change,24hr_change
11/7/2015 12:00,385.9,385.9,385.9,385.9,2.42183098,0,0.137
11/7/2015 11:00,390,390,385.9,385.9,5.05,-1.062,-1.041
11/7/2015 10:00,384.28,390,384.28,390,2.46893388,1.467,0.426
11/7/2015 9:00,385.19,385.19,384.28,384.28,1.297889865,-0.237,0.189
11/7/2015 8:00,381.9,385.19,380,385.19,18.5975,0.854,-1.201
11/7/2015 7:00,385.12,385.12,381.9,381.9,0.52420656,-0.843,-2.044
11/7/2015 6:00,382,388,382,385.12,123.6078465,0.81,1.275
11/7/2015 5:00,382,382,382,382,1.352601481,0,1.275
11/7/2015 4:00,374.97,382,374.97,382,22.20948895,1.84,3.115
11/7/2015 3:00,379.64,384.9,374.97,374.97,12.29983221,-1.245,2.479
11/7/2015 2:00,376.75,381.09,376.75,379.64,16.81,0.761,3.24
11/7/2015 1:00,381,381,376.75,376.75,141.0102494,-1.128,0.587
11/7/2015 0:00,376,381,376,381,79.94,1.312,1.899
11/6/2015 23:00,379.98,379.98,370.1,376,29.11,-1.059,1.708
11/6/2015 22:00,375,381,375,379.98,63.35353944,1.311,3.311
11/6/2015 21:00,376.99,385,375,375,87.2380788,-0.531,1.974
11/6/2015 20:00,366.73,388,365,376.99,13.5087566,2.722,4.696
11/6/2015 19:00,395.99,395.99,366.73,366.73,109.1500772,-7.979,-3.257
11/6/2015 18:00,395,396,380.68,395.99,47.7596394,0.25,-1.942
11/6/2015 17:00,397.01,399.31,394,395,14.39841588,-0.509,-4.049
11/6/2015 16:00,387.18,399.7,387.18,397.01,162.7923783,2.476,-1.568
11/6/2015 15:00,373.78,387.18,373.78,387.18,106.9758733,3.461,2.024
11/6/2015 14:00,375.72,376,373.06,373.78,16.85415195,-0.519,2.678
11/6/2015 13:00,380,380,375.72,375.72,88.23112956,-1.139,2.526
11/6/2015 12:00,372.33,380,372.33,380,4.845242156,2.018,3.031
11/6/2015 11:00,370.47,372.34,370.47,372.33,13.6,0.5,3.531
11/6/2015 10:00,372.27,372.27,370.47,370.47,0.01,-0.486,4.107
11/6/2015 9:00,372.32,374.55,370,372.27,1.80921282,-0.013,2.627
11/6/2015 8:00,388,388,369.93,372.32,1.2217,-4.211,-1.347
11/6/2015 7:00,360,388,360,388,43.12301715,7.216,5.015
11/6/2015 6:00,360,360,360,360,64.14958438,0,5.858
11/6/2015 5:00,355,360,354.01,360,59.85041562,1.389,6.437
11/6/2015 4:00,367.49,367.49,355,355,5.72857821,-3.518,2.919
11/6/2015 3:00,363.28,367.49,363.28,367.49,10.28013592,1.146,2.225
11/6/2015 2:00,384.99,384.99,355,363.28,195.6034123,-5.976,-2.506
11/6/2015 1:00,376.63,387.99,356.01,384.99,38.15588022,2.171,-1.096
11/6/2015 0:00,388,388,376.63,376.63,1.801306325,-3.019,-2.987
11/5/2015 23:00,395,396,379.42,388,33.83278222,-1.804,-6.103
11/5/2015 22:00,411.99,411.99,383.9,395,80.63740952,-4.301,-9.345
11/5/2015 21:00,404.67,412,404.67,411.99,5.267690291,1.777,-8.879
11/5/2015 20:00,413.6,413.6,404.67,404.67,6.24185436,-2.207,-10.555
11/5/2015 19:00,405.24,420.99,405.24,413.6,143.5856191,2.021,-11.256
11/5/2015 18:00,398.8,407.99,398.8,405.24,61.77314032,1.589,-1.688
11/5/2015 17:00,399.25,399.25,395,398.8,62.92831248,-0.113,-2.051
11/5/2015 16:00,389.22,400.32,389.22,399.25,168.7724092,2.512,0.97
11/5/2015 15:00,395.07,405,389.22,389.22,60.46662817,-1.503,-3.009
11/5/2015 14:00,400,405.01,395.07,395.07,108.826238,-1.248,-7.718
11/5/2015 13:00,401.8,401.8,392.32,400,100.74792,-0.45,-7.649
11/5/2015 12:00,405,405,399.5,401.8,1.74216027,-0.796,-7.306
11/5/2015 11:00,392.01,405,385.23,405,16.24437395,3.207,-6.117
11/5/2015 10:00,374.4,393.75,374.4,392.01,63.63680675,4.492,-2.125
11/5/2015 9:00,375,378.97,370.96,374.4,32.27867525,-0.16,-1.799
11/5/2015 8:00,388.19,390.16,369.73,375,35.63929461,-3.517,-5.303
11/5/2015 7:00,390.01,405.82,384.73,388.19,70.39771737,-0.469,-1.561
11/5/2015 6:00,394.59,394.59,375,390.01,51.52420403,-1.174,-9.951
11/5/2015 5:00,414.73,420,375,394.59,122.5907738,-5.104,-15.055
11/5/2015 4:00,441.95,441.95,414.73,414.73,86.67143732,-6.563,-23.007
11/5/2015 3:00,429.51,450,429.26,441.95,70.75120048,2.815,-16.674
11/5/2015 2:00,429.25,439.97,429.25,429.51,70.18743705,0.061,-17.759
11/5/2015 1:00,411,430,405,429.25,64.62028662,4.252,-7.531
11/5/2015 0:00,415,415.5,409,411,91.64519657,-0.973,-10.675
11/4/2015 23:00,394.79,430,377,415,122.8248657,4.87,-2.786
11/4/2015 22:00,420,440.29,365,394.79,52.95777423,-6.386,-7.368
11/4/2015 21:00,468.78,468.78,402.08,420,69.9905032,-11.614,-14.681
11/4/2015 20:00,465.08,471.07,465.08,468.78,15.01400857,0.789,-15.669
11/4/2015 19:00,461.63,473.65,461.63,465.08,32.83320007,0.742,-12.72
11/4/2015 18:00,472,472,442,461.63,210.8407432,-2.246,-16.987
11/4/2015 17:00,475.25,484,450.01,472,174.8080963,-0.689,-19.265
11/4/2015 16:00,483.53,492,475.25,475.25,333.5591928,-1.742,-20.894
11/4/2015 15:00,492.45,496.62,483.53,483.53,98.41041459,-1.845,-25.251
11/4/2015 14:00,496.77,496.77,472.01,492.45,246.1297451,-0.877,-24.625
11/4/2015 13:00,493,500,490.04,496.77,25.72151046,0.759,-22.618
11/4/2015 12:00,477.75,493,474.7,493,27.48086906,3.093,-19.075
11/4/2015 11:00,459.92,477.75,459,477.75,46.09407377,3.732,-14.547
11/4/2015 10:00,443.52,459.92,443.52,459.92,25.26014775,3.566,-14.188
11/4/2015 9:00,441.58,445,441.58,443.52,1.04,0.437,-18.243
11/4/2015 8:00,443.94,446.32,436.69,441.58,0.44535752,-0.534,-18.617
11/4/2015 7:00,433.49,443.94,433.49,443.94,69.4783603,2.354,-12.746
11/4/2015 6:00,442.99,444.99,422,433.49,170.5818895,-2.192,-14.469
11/4/2015 5:00,449.08,451.53,435.33,442.99,84.92257634,-1.375,-14.67
11/4/2015 4:00,439,450.54,430.45,449.08,71.01651417,2.245,-7.321
11/4/2015 3:00,424.66,441.87,424.66,439,17.45128841,3.267,2.509
11/4/2015 2:00,421,430,421,424.66,13.14304452,0.862,0.556
11/4/2015 1:00,408.18,421,408.18,421,35.20958643,3.045,3.54
11/4/2015 0:00,404.09,413.69,404.09,408.18,106.4479436,1.002,0.29
11/3/2015 23:00,402.5,404.09,399.79,404.09,123.37,0.393,1.656
11/3/2015 22:00,397,405.1,397,402.5,292.2834655,1.366,-1.848
11/3/2015 21:00,399,406.85,390.29,397,279.7159783,-0.504,4.034
11/3/2015 20:00,398.85,399,385.05,399,553.4627704,0.038,15.686
11/3/2015 19:00,420.98,424.62,385.05,398.85,282.6997432,-5.548,9.349
11/3/2015 18:00,415.99,421.16,409.56,420.98,74.97190669,1.185,9.792
11/3/2015 17:00,399.11,419.84,399.1,415.99,241.908487,4.058,16.096
11/3/2015 16:00,394.96,399.13,394.96,399.11,306.6728426,1.04,17.825
11/3/2015 15:00,392,394.98,392,394.96,32.54627141,0.749,20.316
11/3/2015 14:00,394.97,394.98,391.97,392,61.81845626,-0.758,21.403
11/3/2015 13:00,390.95,394.98,390.95,394.97,179.9626524,1.018,23.298
11/3/2015 12:00,375.95,390.95,375.95,390.95,56.27187415,3.837,26.376
11/3/2015 11:00,374.46,375.95,374.46,375.95,12.28,0.396,23.679
11/3/2015 10:00,374.65,382.19,374,374.46,2.274508302,-0.051,19.896
11/3/2015 9:00,374.65,374.65,374.65,374.65,0,0,16.33
11/3/2015 8:00,370.67,376,370.67,374.65,99.33333333,1.062,16.955
11/3/2015 7:00,370.23,372.01,370.23,370.67,0.58,0.119,17.608
11/3/2015 6:00,380.01,380.01,370.23,370.23,3.413816759,-2.642,12.612
11/3/2015 5:00,377.02,385.25,376,380.01,13.41579668,0.787,15.591
11/3/2015 4:00,375,378.25,375,377.02,15.8174992,0.536,17.502
11/3/2015 3:00,369.89,376.54,368.24,375,14.1621864,1.363,16.62
11/3/2015 2:00,365.6,369.89,365.56,369.89,40.23846867,1.16,14.513
11/3/2015 1:00,363.9,367.82,363.9,365.6,122.2633186,0.465,14.116
11/3/2015 0:00,363,367.99,363,363.9,273.6569666,0.247,11.318
11/2/2015 23:00,363.96,370,362.25,363,280.4979131,-0.264,10.052
11/2/2015 22:00,362,364,357.2,363.96,175.4734417,0.539,10.198
11/2/2015 21:00,355,367.9,355,362,1153.703814,1.934,10.766
11/2/2015 20:00,350,358.99,347.01,355,35.20024605,1.408,12.678
11/2/2015 19:00,342.74,350,342.7,350,130.5005026,2.074,14.714
11/2/2015 18:00,336.61,342.75,336.61,342.74,130.3333271,1.789,22.051
11/2/2015 17:00,336.65,340,336.6,336.61,158.6770321,-0.012,20.854
11/2/2015 16:00,336.58,336.65,336.57,336.65,178.8962504,0.021,16.817
11/2/2015 15:00,336.17,341,336.17,336.58,166.4166727,0.122,15.899
11/2/2015 14:00,341,341.17,336.17,336.17,82.52370686,-1.437,13.713
11/2/2015 13:00,340,342.22,340,341,118.4427232,0.293,14.764
11/2/2015 12:00,338,340,338,340,3.8,0.588,14.334
11/2/2015 11:00,335.42,338,335.42,338,34.32,0.763,11.26
11/2/2015 10:00,332.99,335.42,332.02,335.42,7.074,0.724,11.588
11/2/2015 9:00,332.99,332.99,332.99,332.99,0,0,11.639
11/2/2015 8:00,332.96,332.99,332.96,332.99,1.04131629,0.009,11.648
11/2/2015 7:00,332.96,332.96,332.96,332.96,0,0,10.586
11/2/2015 6:00,332.96,332.96,332.96,332.96,0,0,10.467
